date,open,high,low,close,volume,trade_count,vwap,sma_20,sma_50,sma_200,ema_12,ema_20,ema_26,macd,macd_signal,macd_hist,rsi_14,stoch_k,stoch_d,williams_r,bb_mid,bb_upper,bb_lower,atr_14,atr_pct,obv,cmf_20,plus_di,minus_di,adx_14,signal,entry_flag,exit_flag,cash,shares,position,action,portfolio_value,daily_returns,drawdown
2026-02-19 05:00:00,683.84,686.18,681.5475,684.48,58649363.0,898459.0,683.791086,689.095,687.3484,650.5239,686.61722377825,687.449192018787,687.5270962879079,-0.9098725096578164,-0.012471115973250263,-0.8974013936845662,46.801123446871415,97.98450969934807,97.95780028243267,-2.015490300651925,689.095,699.6943991884401,678.4956008115599,26.13570446121097,0.03818329894403192,536919900.0,0.053043319215766715,5.05230650851068,76.72605216642806,60.05752255144165,-1,False,True,101015.56587158365,0.0,0,HOLD,101015.56587158365,0.0,-0.09964540631195462
2026-02-20 05:00:00,682.32,690.06,681.73,689.43,100033986.0,1280081.0,687.365624,689.1175000000001,687.4643999999998,651.1535,687.0499585815961,687.6378403979502,687.6680521184331,-0.6180935368370228,-0.13359560014600477,-0.48449793669101804,51.83854634528295,98.77255685481623,98.3432436233188,-1.2274431451837642,689.1175000000001,699.7177817737181,678.517218226282,24.863868428267327,0.036064384242442786,636953886.0,0.10382117528330714,6.046044205160955,74.8899741976787,61.843391976214996,-1,False,True,101015.56587158365,0.0,0,HOLD,101015.56587158365,0.0,-0.09964540631195462
2026-02-23 05:00:00,687.83,690.0,680.371,682.39,90667777.0,1279677.0,683.182877,688.7755,687.4514000000001,651.77145,686.3330418767353,687.1380460743359,687.2770852948455,-0.9440434181102546,-0.2956851637388548,-0.6483582543713998,45.27265015082245,30.945692883895177,75.90091981268652,-69.05430711610482,688.7755,699.7936256882567,677.7573743117432,23.77566354053395,0.03484175257628915,546286109.0,0.06798326271328618,5.871143394289358,73.13182719715516,63.50721431545985,-1,False,True,101015.56587158365,0.0,0,HOLD,101015.56587158365,0.0,-0.09964540631195462
2026-02-24 05:00:00,681.9,688.35,680.0,687.35,73879636.0,951187.0,685.954775,688.5065,687.447,652.40245,686.4894969726222,687.1582321624943,687.2824863841162,-0.7929894114939771,-0.3951460132898793,-0.39784339820409775,50.07095823978826,54.16666666666686,61.29497213512612,-45.83333333333314,688.5065,699.3798615098704,677.6331384901296,22.673830430495812,0.03298731422200598,620165745.0,0.08834529575300072,5.716704660258845,71.32499039705016,65.05380275992623,-1,False,True,101015.56587158365,0.0,0,HOLD,101015.56587158365,0.0,-0.09964540631195462
2026-02-25 05:00:00,690.18,693.68,690.1,693.15,56447240.0,793756.0,692.180635,688.3895,687.5266,653.0429,687.514189746065,687.7288767184473,687.7171170223298,-0.20292727626485885,-0.3567022658848752,0.15377498962001634,55.035554687921845,81.32022471910109,55.477528089887734,-18.67977528089891,688.3895,698.9934862910688,677.7855137089311,21.50641397117468,0.031027070578049026,676612985.0,0.10179804480833755,7.3667548006709085,69.82548029801492,66.18661850739241,1,True,False,0.0,145.7340631487898,1,BUY,101015.56587158365,0.0,-0.09964540631195462
2026-02-26 05:00:00,693.28,693.3,684.35,689.3,71763014.0,1078464.0,688.106726,688.0835,687.6774,653.6677000000001,687.7889297851319,687.8785075071667,687.8343676132683,-0.04543782813641428,-0.29444937833518303,0.24901155019876875,51.38322872442055,63.29588014981261,66.26092384519356,-36.70411985018739,688.0835,698.1740360036089,677.992963996391,20.609527258947914,0.029899212619973765,604849971.0,0.11409095237913154,7.138245866645266,69.65240483483652,67.27389967213597,1,True,False,0.0,145.7340631487898,1,HOLD,100454.4897284608,-0.005554353314578431,-0.10464629383370183
2026-02-27 05:00:00,683.09,686.86,681.64,685.99,83410162.0,1114035.0,684.641071,687.6809999999999,687.7826,654.1827,687.5121713566501,687.6986496493413,687.6977477900632,-0.1855764334130754,-0.2726747893507615,0.08709835593768611,48.408807221013056,47.79962546816493,64.13857677902624,-52.20037453183507,687.6809999999999,697.4067399122191,677.9552600877807,19.68456102616592,0.02869511366953734,521439809.0,0.11867486114798712,6.939834521161216,68.69974590044966,68.30078229793067,1,True,False,0.0,145.7340631487898,1,HOLD,99972.10997943832,-0.004801973016103189,-0.10894575817058028
2026-03-02 05:00:00,678.7,688.62,678.02,686.38,87604490.0,1232297.0,685.208581,687.4015,687.9328,654.6804,687.3379911479348,687.5730639684516,687.6001368426511,-0.26214569471630966,-0.2705689704238712,0.008423275707561517,48.78499066213725,49.625468164794086,53.573657927590574,-50.374531835205914,687.4015,696.9275004861007,677.8754995138994,19.035663810011215,0.02773341852911101,609044299.0,0.1273535076782875,6.663802847672255,67.3255684984956,69.27837890788274,1,True,False,0.0,145.7340631487898,1,HOLD,100028.94626406634,0.0005685214070174638,-0.10843917475928655
2026-03-03 05:00:00,675.06,682.61,669.66,680.33,105122181.0,1586985.0,676.522044,686.6475,688.1114000000001,655.1441,686.2598386636371,686.8832483524086,687.0616081876399,-0.8017695240027933,-0.3768090811396556,-0.4249604428631377,43.48756742622835,38.82823871906865,45.41777745067592,-61.17176128093135,686.6475,695.887424526813,677.4075754731871,18.87025925215327,0.027736920688714698,503922118.0,0.11920556663732484,6.2420553540397385,66.22904519835753,70.24232829404868,-1,False,True,99147.25518201618,0.0,0,SELL,99147.25518201618,-0.0088143593927561,-0.11629771229346031
2026-03-04 05:00:00,681.63,687.09,679.62,685.13,79278994.0,1066168.0,685.100441,686.4275,688.2846000000001,655.61745,686.0860173307698,686.7162723188459,686.9185260996665,-0.8325087688966732,-0.4679490186910592,-0.36455975020561404,48.28557260488745,60.217983651226135,49.55723017836299,-39.782016348773865,686.4275,695.5876307160372,677.2673692839628,18.05595501985661,0.026354056923294282,583201112.0,0.15284472067877633,7.8298648925545775,64.27191104397205,70.81652457195466,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-05 05:00:00,682.08,685.53,675.61,681.31,106716391.0,1472708.0,679.927445,686.1835,688.299,656.053,685.3512454337283,686.2013892408605,686.5030797219134,-1.151834288185114,-0.6047260725898702,-0.5471082155952438,45.01038454004744,48.50124895920061,49.182490443165165,-51.49875104079939,686.1835,695.6258977217066,676.7411022782934,17.474815375581137,0.02564884615752174,476484721.0,0.16736010009608743,7.512378359323941,63.304897526553184,71.38561347189753,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-06 05:00:00,673.41,676.11,669.76,672.38,100796751.0,1411622.0,673.375419,685.9215,688.05,656.44065,683.3556692131547,684.8850664560166,685.4569256684383,-2.1012564552836466,-0.9040321491286255,-1.1972243061550212,38.445370145362375,11.3238967527062,40.014376454377675,-88.6761032472938,685.9215,696.5772111446422,675.2657888553579,17.05161427732534,0.02536008548339531,375687970.0,0.19430054814868683,7.148910593419587,62.69259032772242,71.96722589520704,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-09 04:00:00,666.39,679.92,662.39,678.27,102774914.0,1484006.0,670.558395,685.3040000000001,687.8562,656.8677500000001,682.573258564977,684.2550601268722,684.9245608041095,-2.351302239132565,-1.1934861671294135,-1.1578160720031514,44.223927263794366,50.7510386705018,36.85872812746957,-49.2489613294982,685.3040000000001,696.2409319280163,674.3670680719839,17.085784686087813,0.02519024088650215,478462884.0,0.20483484650274283,6.6249980251433405,61.17921400308467,72.57374168624084,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-10 04:00:00,677.72,683.36,674.76,677.18,81585842.0,1197642.0,679.288415,684.4655,687.5922,657.33935,681.7435264780574,683.5812448766939,684.3508896334348,-2.6073631553773566,-1.4762615647790023,-1.1311015905983544,43.41172973559739,47.26749760306801,36.44747767542537,-52.73250239693199,684.4655,695.1805921109172,673.7504078890828,16.479657208510115,0.024335711640199233,396877042.0,0.1618865386720166,7.869064371185126,58.89873470076541,72.8490861676578,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
